Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,RunOrder,SchedulePosition
javascript,bytes,document,100,7,protobufjs,7.6.5,42105,38646,155,80751,23750.148438,25875.899187,12383.747570,0,1.00,1,c4a54cdecc67,144,4
javascript,bytes,document,100,7,devalue,5.8.1,40544,17136,555,57680,24664.561957,58356.676004,17337.031900,0,1.00,1,c4a54cdecc67,145,5
javascript,bytes,document,100,7,v8-serializer,v8-13.6.233.17-node.48,13082,13661,403,26743,76440.911176,73201.083376,37392.962644,0,1.00,1,c4a54cdecc67,146,6
javascript,bytes,document,100,7,flexbuffers,24.12.23,157365,112702,579,270067,6354.653195,8872.957002,3702.784864,0,1.00,1,c4a54cdecc67,147,7
javascript,bytes,document,100,7,JSON.stringify,node-24.15.0,5842,9453,448,15295,171174.255392,105786.522797,65380.843413,0,1.00,1,c4a54cdecc67,148,8
javascript,bytes,document,100,7,bson,6.10.4,28372,30247,493,58619,35246.017200,33061.130029,17059.315239,0,1.00,1,c4a54cdecc67,149,9
javascript,bytes,document,100,7,simdjson-parse+JSON.stringify,0.9.2,3175,18501,448,21676,314960.629921,54051.132371,46133.973058,0,1.00,1,c4a54cdecc67,150,10
javascript,bytes,document,100,7,json-pack-msgpack,18.28.0,32911,20042,337,52953,30384.977667,49895.220038,18884.671312,0,1.00,1,c4a54cdecc67,151,11
javascript,bytes,document,100,7,bser,2.1.1,57914,52334,448,110248,17266.982077,19108.036840,9070.459328,0,1.00,1,c4a54cdecc67,152,12
javascript,bytes,document,100,7,cbor-x,1.6.4,42483,28485,234,70968,23538.827296,35106.196244,14090.857851,0,1.00,1,c4a54cdecc67,153,13
javascript,bytes,document,100,7,avsc,5.7.9,30671,24162,114,54833,32604.088553,41387.302376,18237.192931,0,1.00,1,c4a54cdecc67,154,14
javascript,bytes,document,100,7,@msgpack/msgpack,3.1.3,38206,62920,325,101126,26173.899388,15893.197711,9888.653759,0,1.00,1,c4a54cdecc67,155,15
javascript,bytes,document,100,7,msgpackr,1.12.1,78815,21044,345,99859,12687.940113,47519.482988,10014.119909,0,1.00,1,c4a54cdecc67,156,16
javascript,bytes,document,100,7,cbor,9.0.2,142708,127985,332,270693,7007.315638,7813.415635,3694.221868,0,1.00,1,c4a54cdecc67,157,17
javascript,bytes,document,100,7,bebop,3.2.3,33400,13209,547,46609,29940.119760,75705.958059,21455.083782,0,1.00,1,c4a54cdecc67,158,18
javascript,bytes,document,100,7,flatbuffers,24.12.23,51375,36213,416,87588,19464.720195,27614.392621,11417.089099,0,1.00,1,c4a54cdecc67,159,19
javascript,bytes,document,100,8,flexbuffers,24.12.23,229212,121695,579,350907,4362.773328,8217.264473,2849.757913,0,1.00,1,c4a54cdecc67,160,0
javascript,bytes,document,100,8,bson,6.10.4,29921,36521,493,66442,33421.342870,27381.506530,15050.720930,0,1.00,1,c4a54cdecc67,161,1
javascript,bytes,document,100,8,JSON.stringify,node-24.15.0,27856,7837,448,35693,35898.908673,127599.846880,28016.697952,0,1.00,1,c4a54cdecc67,162,2
javascript,bytes,document,100,8,bebop,3.2.3,17554,14537,547,32091,56967.073032,68789.984178,31161.384812,0,1.00,1,c4a54cdecc67,163,3
javascript,bytes,document,100,8,devalue,5.8.1,53449,16172,555,69621,18709.423937,61835.270838,14363.482283,0,1.00,1,c4a54cdecc67,164,4
javascript,bytes,document,100,8,protobufjs,7.6.5,25814,57847,155,83661,38738.668939,17286.981174,11953.000801,0,1.00,1,c4a54cdecc67,165,5
javascript,bytes,document,100,8,avsc,5.7.9,59002,29710,114,88712,16948.578014,33658.700774,11272.432140,0,1.00,1,c4a54cdecc67,166,6
