Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,SizeGzip,SizeZstd,NativeKind,StreamMode,RunOrder,SchedulePosition
python,bytes,document,100,6,rapidjson,1.23,6026,7472,448,13498,165947.560571,133832.976445,74085.049637,2663,1.00,1,c4a54cdecc67,229,235,dict,,103,7
python,bytes,document,100,6,serpyco-rs,1.21.0,2828,4145,448,6973,353606.789250,241254.523522,143410.296859,9789,1.00,1,c4a54cdecc67,229,235,dataclass,,104,8
python,bytes,document,100,6,json,python-3.14.0,12355,9016,448,21371,80938.891137,110913.930790,46792.382200,3200,1.00,1,c4a54cdecc67,229,235,dict,,105,9
python,bytes,document,100,6,orjson,3.11.9,1035,1956,448,2991,966183.574879,511247.443763,334336.342360,9821,1.00,1,c4a54cdecc67,229,235,dict,,106,10
python,bytes,document,100,6,avro,1.12.2,17652,9245,114,26897,56650.804441,108166.576528,37178.867532,1121,1.00,1,c4a54cdecc67,137,123,dict,,107,11
python,bytes,document,100,6,pydantic,2.13.4,9247,14715,448,23962,108143.181572,67957.866123,41732.743511,5757,1.00,1,c4a54cdecc67,229,235,model,,108,12
python,bytes,document,100,6,dill,0.4.1,180231,15803,452,196034,5548.435064,63279.124217,5101.155922,14770,1.00,1,c4a54cdecc67,319,336,dataclass,,109,13
python,bytes,document,100,6,msgpack,1.2.1,4078,4687,325,8765,245218.244237,213356.091316,114090.131204,1028,1.00,1,c4a54cdecc67,228,232,dict,,110,14
python,bytes,document,100,6,flatbuffers,25.12.19,83095,27670,416,110765,12034.418437,36140.224069,9028.122602,2638,1.00,1,c4a54cdecc67,267,265,dataclass,,111,15
python,bytes,document,100,7,pydantic,2.13.4,7673,15377,448,23050,130327.121074,65032.190935,43383.947939,5757,1.00,1,c4a54cdecc67,229,235,model,,112,0
python,bytes,document,100,7,flatbuffers,25.12.19,76481,27122,416,103603,13075.142846,36870.437283,9652.230148,2638,1.00,1,c4a54cdecc67,267,265,dataclass,,113,1
python,bytes,document,100,7,msgspec,0.21.1,2165,2704,192,4869,461893.764434,369822.485207,205380.981721,1406,1.00,1,c4a54cdecc67,165,163,struct,,114,2
python,bytes,document,100,7,serpyco-rs,1.21.0,3289,5284,448,8573,304043.782305,189250.567752,116645.281698,9789,1.00,1,c4a54cdecc67,229,235,dataclass,,115,3
