StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser
Stream,SimpleObject,1,0,MemoryPack,8816,9626,45,18442,1134,1038,542
Stream,SimpleObject,1,0,SharpYaml,75297,77654,100,152951,132,128,65
Stream,SimpleObject,1,0,GroBuf,6828,2984,1,9812,1464,3351,1019
Stream,SimpleObject,1,0,Migrant,25467,92240,1030,117707,392,108,84
Stream,SimpleObject,1,0,Apex.Serialization,4559,2250,201,6809,2193,4444,1468
string,StringArray,1,0,MS Binary,205004,128987,3600,333991,48,77,29
string,StringArray,1,0,MS Bond Compact,3735121,16594,2260,3751715,2,602,2
string,StringArray,1,0,MS Bond Fast,2973154,8595,2264,2981749,3,1163,3
string,StringArray,1,0,MS Bond Json,2272747,16307,1901,2289054,4,613,4
string,StringArray,1,0,MS DataContract,1244620,2597662,5260,3842282,8,3,2
string,StringArray,1,0,MS DataContract Json,1558087,1804303,2536,3362390,6,5,2
string,StringArray,1,0,MS XmlSerializer,3228016,1252219,3990,4480235,3,7,2
string,StringArray,1,0,fastJson,215722,1377073,2061,1592795,46,7,6
string,StringArray,1,0,Jil,6652142,4045734,1901,10697876,1,2,0
string,StringArray,1,0,Json.Net (Helper),1311414,228655,1911,1540069,7,43,6
string,StringArray,1,0,Json.Net,21310,27057,1912,48367,469,369,206
string,StringArray,1,0,FsPickler,10800159,638618,2608,11438777,0,15,0
string,StringArray,1,0,FsPicklerJson,79662,59555,2960,139217,125,167,71
string,StringArray,1,0,NetJSON,1361261,1241736,1901,2602997,7,8,3
string,StringArray,1,0,ProtoBuf,4447245,387219,2388,4834464,2,25,2
string,StringArray,1,0,SharpSerializer,1280873,1324327,6344,2605200,7,7,3
string,StringArray,1,0,ServiceStack Json,1359869,1582195,1901,2942064,7,6,3
string,StringArray,1,0,ServiceStack Type,765803,1197012,1699,1962815,13,8,5
string,StringArray,1,0,Ceras,2522508,1080808,2328,3603316,3,9,2
string,StringArray,1,0,Hyperion,1957377,2269062,2656,4226439,5,4,2
string,StringArray,1,0,NetSerializer,447225,458335,2396,905560,22,21,11
string,StringArray,1,0,SpanJson,4424804,1507777,1901,5932581,2,6,1
string,StringArray,1,0,Utf8Json,3016632,1339101,1901,4355733,3,7,2
string,StringArray,1,0,YamlDotNet,843352,419035,1897,1262387,11,23,7
string,StringArray,1,0,YAXLib,333461,330028,3851,663489,29,30,15
string,StringArray,1,0,MemoryPack,1546139,894729,3196,2440868,6,11,4
string,StringArray,1,0,SharpYaml,676196,1020074,2097,1696270,14,9,5
string,StringArray,1,0,Apex.Serialization,876720,8771543,4984,9648263,11,1,1
Stream,StringArray,1,0,MS Binary,50134,47564,2699,97698,199,210,102
Stream,StringArray,1,0,MS Bond Compact,14509,12073,1694,26582,689,828,376
Stream,StringArray,1,0,MS Bond Fast,9226,10033,1696,19259,1083,996,519
Stream,StringArray,1,0,MS Bond Json,13909,18662,1901,32571,718,535,307
Stream,StringArray,1,0,MS DataContract,40975,51407,3945,92382,244,194,108
Stream,StringArray,1,0,MS DataContract Json,24730,67576,1901,92306,404,147,108
Stream,StringArray,1,0,MS XmlSerializer,54095,90887,3989,144982,184,110,68
Stream,StringArray,1,0,fastJson,18377,24317,2061,42694,544,411,234
Stream,StringArray,1,0,Jil,26070,11627,1901,37697,383,860,265
Stream,StringArray,1,0,Json.Net (Helper),29387,31290,1911,60677,340,319,164
Stream,StringArray,1,0,Json.Net,14080,16727,1912,30807,710,597,324
Stream,StringArray,1,0,FsPickler,35720,20173,1956,55893,279,495,178
Stream,StringArray,1,0,FsPicklerJson,20209,27264,2218,47473,494,366,210
Stream,StringArray,1,0,NetJSON,8681,10901,1901,19582,1151,917,510
Stream,StringArray,1,0,ProtoBuf,13405,18962,1790,32367,745,527,308
Stream,StringArray,1,0,SharpSerializer,88944,196220,4757,285164,112,50,35
Stream,StringArray,1,0,ServiceStack Json,15137,20235,1901,35372,660,494,282
Stream,StringArray,1,0,ServiceStack Type,10599,13799,1699,24398,943,724,409
Stream,StringArray,1,0,Ceras,13652,34854,1745,48506,732,286,206
Stream,StringArray,1,0,Hyperion,19509,12755,1991,32264,512,784,309
Stream,StringArray,1,0,NetSerializer,7061,8299,1797,15360,1416,1204,651
Stream,StringArray,1,0,SpanJson,4594372,1573519,1901,6167891,2,6,1
Stream,StringArray,1,0,Utf8Json,51879,69498,1901,121377,192,143,82
Stream,StringArray,1,0,YamlDotNet,873444,447565,1900,1321009,11,22,7
Stream,StringArray,1,0,YAXLib,434116,302759,3854,736875,23,33,13
Stream,StringArray,1,0,MemoryPack,18908,24180,2395,43088,528,413,232
Stream,StringArray,1,0,SharpYaml,145663,371189,2100,516852,68,26,19
Stream,StringArray,1,0,Apex.Serialization,10958,8805,3737,19763,912,1135,505
string,EDI_835,1,0,MS Binary,422156,296985,3996,719141,23,33,13
string,EDI_835,1,0,MS Bond Compact,15236014,17928,892,15253942,0,557,0
string,EDI_835,1,0,MS Bond Fast,14588280,22473,1092,14610753,0,444,0
string,EDI_835,1,0,MS Bond Json,11344981,38800,1722,11383781,0,257,0
string,EDI_835,1,0,MS DataContract,3221476,7643339,4228,10864815,3,1,0
string,EDI_835,1,0,MS DataContract Json,3698572,8516161,2204,12214733,2,1,0
string,EDI_835,1,0,MS XmlSerializer,5641835,4172760,4222,9814595,1,2,1
string,EDI_835,1,0,fastJson,974274,2098254,2289,3072528,10,4,3
string,EDI_835,1,0,Jil,8261018,48158390,1647,56419408,1,0,0
string,EDI_835,1,0,Json.Net (Helper),2996937,1610171,1959,4607108,3,6,2
string,EDI_835,1,0,Json.Net,59159,58805,1968,117964,169,170,84
string,EDI_835,1,0,FsPickler,6847303,1290326,1308,8137629,1,7,1
string,EDI_835,1,0,FsPicklerJson,120069,124738,3148,244807,83,80,40
string,EDI_835,1,0,NetJSON,6092162,4099057,1651,10191219,1,2,0
string,EDI_835,1,0,ProtoBuf,4296324,2877670,896,7173994,2,3,1
string,EDI_835,1,0,SharpSerializer,401062,712665,10564,1113727,24,14,8
string,EDI_835,1,0,ServiceStack Json,3317915,4307199,1652,7625114,3,2,1
string,EDI_835,1,0,ServiceStack Type,2418609,3542437,1447,5961046,4,2,1
string,EDI_835,1,0,Ceras,7927190,593954,844,8521144,1,16,1
string,EDI_835,1,0,Hyperion,5536665,6689517,1516,12226182,1,1,0
string,EDI_835,1,0,NetSerializer,1313363,1313044,908,2626407,7,7,3
string,EDI_835,1,0,SpanJson,24472361,1141888,1657,25614249,0,8,0
string,EDI_835,1,0,Utf8Json,3928691,2573483,1657,6502174,2,3,1
string,EDI_835,1,0,YamlDotNet,990336,673711,1700,1664047,10,14,6
string,EDI_835,1,0,YAXLib,530904,486707,4069,1017611,18,20,9
string,EDI_835,1,0,SharpYaml,616500,577269,2102,1193769,16,17,8
string,EDI_835,1,0,Apex.Serialization,1978341,3715449,1440,5693790,5,2,1
Stream,EDI_835,1,0,MS Binary,94366,105607,2996,199973,105,94,50
Stream,EDI_835,1,0,MS Bond Compact,21962,17096,668,39058,455,584,256
Stream,EDI_835,1,0,MS Bond Fast,17256,16238,818,33494,579,615,298
Stream,EDI_835,1,0,MS Bond Json,26157,34003,1722,60160,382,294,166
Stream,EDI_835,1,0,MS DataContract,47901,61154,3169,109055,208,163,91
Stream,EDI_835,1,0,MS DataContract Json,47569,88008,1652,135577,210,113,73
Stream,EDI_835,1,0,MS XmlSerializer,68863,123504,4221,192367,145,80,51
Stream,EDI_835,1,0,fastJson,46018,74630,2289,120648,217,133,82
Stream,EDI_835,1,0,Jil,43820,23231,1647,67051,228,430,149
Stream,EDI_835,1,0,Json.Net (Helper),68578,80268,1959,148846,145,124,67
Stream,EDI_835,1,0,Json.Net,50016,58360,1968,108376,199,171,92
Stream,EDI_835,1,0,FsPickler,50073,23403,981,73476,199,427,136
Stream,EDI_835,1,0,FsPicklerJson,41595,56095,2360,97690,240,178,102
Stream,EDI_835,1,0,NetJSON,18290,18314,1651,36604,546,546,273
Stream,EDI_835,1,0,ProtoBuf,15540,16683,671,32223,643,599,310
Stream,EDI_835,1,0,SharpSerializer,170679,498341,7923,669020,58,20,14
Stream,EDI_835,1,0,ServiceStack Json,55984,52960,1652,108944,178,188,91
Stream,EDI_835,1,0,ServiceStack Type,56946,45358,1447,102304,175,220,97
Stream,EDI_835,1,0,Ceras,20736,66048,631,86784,482,151,115
Stream,EDI_835,1,0,Hyperion,33858,23587,1137,57445,295,423,174
Stream,EDI_835,1,0,NetSerializer,9449,10321,681,19770,1058,968,505
Stream,EDI_835,1,0,SpanJson,21209022,1328284,1657,22537306,0,7,0
Stream,EDI_835,1,0,Utf8Json,35292,80220,1657,115512,283,124,86
Stream,EDI_835,1,0,YamlDotNet,849916,614004,1703,1463920,11,16,6
Stream,EDI_835,1,0,YAXLib,719171,514943,4072,1234114,13,19,8
Stream,EDI_835,1,0,SharpYaml,232536,426472,2105,659008,43,23,15
Stream,EDI_835,1,0,Apex.Serialization,7285,5767,1078,13052,1372,1734,766
string,ObjectGraph,1,0,MS Binary,139858,128443,1392,268301,71,77,37
string,ObjectGraph,1,0,MS DataContract,1716830,2564114,692,4280944,5,3,2
string,ObjectGraph,1,0,Json.Net (Helper),1995890,876233,241,2872123,5,11,3
string,ObjectGraph,1,0,Json.Net,26888,42020,248,68908,371,237,145
string,ObjectGraph,1,0,FsPickler,5376891,2139691,400,7516582,1,4,1
string,ObjectGraph,1,0,FsPicklerJson,117773,75362,948,193135,84,132,51
string,ObjectGraph,1,0,SharpSerializer,467156,333384,1840,800540,21,29,12
string,ObjectGraph,1,0,Ceras,2756245,279749,104,3035994,3,35,3
string,ObjectGraph,1,0,YamlDotNet,2631601,5369085,182,8000686,3,1,1
Stream,ObjectGraph,1,0,MS Binary,48428,48346,1042,96774,206,206,103
